1;portm;4,00
1;portl;8,00
1;kpl_s;2,00
1;kpl_m;3,00
1;kpl_l;4,00
1;dl;85,00
1;rkl;12,00
1;tl;4,00
1;ports;2,00
2;portl;8,00
2;portm;4,00
2;dl;85,00
2;rkl;12,00
2;tl;4,00
2;ports;2,00
3;dl;140,00
3;rkl;20,00
3;tl;6,50
3;ports;5,00
3;portm;15,00
3;portl;30,00
4;dl;140,00
4;rkl;20,00
4;tl;6,50
4;ports;5,00
4;portm;15,00
4;portl;30,00
5;kpl_s;2,00
5;kpl_m;3,00
5;kpl_l;7,50
5;dl;45,00
5;ports;30,00
5;portm;80,00
5;portl;140,00
6;kpl_s;100,00
6;kpl_m;170,00
6;kpl_l;300,00
6;ports;40,00
6;portm;100,00
6;portl;200,00
7;portl;100,00
7;kpl_m;8,00
7;ports;15,00
7;portm;30,00
8;kpl_m;4,00
8;ports;15,00
8;portm;40,00
8;portl;80,00
9;kpl_l;30,00
9;ports;30,00
9;portm;80,00
9;portl;140,00
10;portl;65,00
10;portm;20,00
10;ports;10,00
10;rkl;20,00
11;kpl_m;5,00
11;ports;30,00
11;portm;80,00
11;portl;140,00
12;kpl_m;0,50
12;ports;30,00
12;portm;80,00
12;portl;140,00
14;kpl_s;20,00
14;kpl_m;45,00
14;kpl_l;60,00
14;ports;20,00
14;portm;40,00
14;portl;80,00
20;dl;40,00
20;rkl;6,00
20;tl;3,00
20;portm;20,00
20;portl;30,00
20;ports;12,00
21;dl;40,00
21;rkl;6,00
21;tl;3,00
21;ports;12,00
21;portm;20,00
21;portl;30,00
24;portl;3,00
24;portm;2,00
24;ports;1,00
25;rkl;9,00
25;tl;3,00
25;ports;5,00
25;portm;15,00
25;portl;30,00
26;kpl_m;50,00
26;portl;30,00
26;portm;15,00
26;ports;5,00
27;dl;55,00
27;rkl;7,00
27;portl;30,00
27;portm;15,00
27;ports;5,00
28;dl;110,00
28;rkl;16,00
28;tl;5,00
28;ports;5,00
28;portl;30,00
28;portm;10,00
29;dl;100,00
29;rkl;15,00
29;tl;5,00
29;ports;200,00
29;portm;300,00
29;portl;400,00
30;dl;125,00
30;rkl;20,00
30;tl;6,50
30;ports;1,00
30;portm;2,00
30;portl;3,00
31;dl;120,00
31;rkl;18,00
31;tl;6,00
31;ports;5,00
31;portm;15,00
31;portl;30,00
32;kpl_s;45,00
32;kpl_m;100,00
32;kpl_l;200,00
32;ports;15,00
32;portm;30,00
32;portl;100,00
33;ports;15,00
33;portm;30,00
33;portl;100,00
33;kpl_s;45,00
33;kpl_m;100,00
33;kpl_l;200,00
34;portm;20,00
34;ports;10,00
34;dl;100,00
34;rkl;15,00
34;portl;30,00
35;kpl_s;2,00
35;kpl_m;3,00
35;kpl_l;7,50
35;ports;30,00
35;portm;80,00
35;portl;140,00
36;dl;125,00
36;rkl;20,00
36;tl;6,50
36;ports;1,00
36;portm;2,00
36;portl;3,00
37;kpl_s;45,00
37;kpl_m;100,00
37;ports;15,00
37;portm;30,00
37;portl;100,00
38;dl;75,00
38;rkl;11,00
38;tl;3,50
38;ports;5,00
38;portm;15,00
38;portl;30,00
39;tl;0,50
39;ports;0,10
39;portm;0,30
39;portl;0,50
40;kpl_m;30,00
40;ports;30,00
40;portm;60,00
40;portl;120,00
43;ports;5,00
43;portm;15,00
43;portl;30,00
44;kpl_s;20,00
44;kpl_m;45,00
44;kpl_l;60,00
44;ports;20,00
44;portm;40,00
44;portl;80,00
62;portl;3,00
62;ports;0,65
62;portm;1,00
62;kpl_m;1,00
63;kpl_s;20,00
63;kpl_m;45,00
63;kpl_l;60,00
63;ports;20,00
63;portm;40,00
63;portl;80,00
65;portm;2,00
65;kpl_m;1,00
65;ports;1,00
65;portl;5,00
66;portm;2,00
66;kpl_m;3,00
66;ports;1,00
66;portl;5,00
68;dl;55,00
68;rkl;8,00
68;ports;15,00
68;portm;25,00
68;portl;35,00
69;kpl_m;1,00
69;ports;30,00
69;portm;80,00
69;portl;140,00
70;kpl_m;0,10
70;tl;0,50
70;ports;0,10
70;portm;0,30
70;portl;0,50
73;kpl_m;3,00
73;ports;20,00
73;portm;50,00
73;portl;100,00
74;rkl;15,00
74;tl;5,00
74;ports;5,00
74;portm;15,00
74;portl;30,00
75;dl;100,00
75;rkl;15,00
75;tl;5,00
75;ports;200,00
75;portm;300,00
75;portl;400,00
79;dl;125,00
79;rkl;20,00
79;ports;1,00
79;portm;2,00
79;portl;3,00
79;tl;6,50
100;dl;55,00
100;rkl;8,00
100;ports;15,00
100;portm;25,00
100;portl;35,00
103;dl;30,00
103;rkl;4,50
103;ports;15,00
103;portm;25,00
103;portl;35,00
110;dl;65,00
110;rkl;10,00
110;ports;15,00
110;portm;25,00
110;portl;35,00
111;dl;55,00
111;rkl;9,00
111;tl;3,00
111;ports;15,00
111;portm;25,00
111;portl;35,00
112;dl;100,00
112;rkl;15,00
112;ports;15,00
112;portm;25,00
112;portl;35,00
113;dl;100,00
113;rkl;15,00
113;ports;15,00
113;portm;25,00
113;portl;35,00
114;dl;30,00
114;rkl;4,50
114;ports;15,00
114;portm;25,00
114;portl;35,00
115;dl;25,00
115;rkl;5,00
115;tl;2,00
115;ports;15,00
115;portm;25,00
115;portl;35,00
116;dl;20,00
116;rkl;3,00
116;ports;15,00
116;portm;25,00
116;portl;35,00
117;dl;55,00
117;rkl;7,50
117;ports;55,00
117;portl;80,00
117;portm;70,00
119;dl;55,00
119;rkl;7,50
119;ports;55,00
119;portm;70,00
119;portl;80,00
120;portm;70,00
120;portl;80,00
120;ports;55,00
121;dl;60,00
121;ports;55,00
121;portm;70,00
121;portl;80,00
123;dl;65,00
123;rkl;11,00
123;ports;135,00
123;portm;175,00
123;portl;200,00
124;dl;55,00
124;rkl;9,00
124;ports;15,00
124;portm;25,00
124;portl;35,00
125;dl;55,00
125;rkl;9,00
125;ports;15,00
125;portm;25,00
125;portl;35,00
126;dl;50,00
126;rkl;7,00
126;ports;15,00
126;portm;25,00
126;portl;35,00
133;ports;3,50
133;portm;8,50
133;portl;17,00
133;kpl_s;3,50
133;kpl_m;8,50
133;kpl_l;11,00
142;dl;70,00
142;rkl;10,50
142;tl;3,50
142;ports;15,00
142;portm;25,00
142;portl;35,00
150;dl;55,00
150;rkl;8,00
150;ports;15,00
150;portm;25,00
150;portl;35,00
151;dl;85,00
151;rkl;12,50
151;ports;15,00
151;portm;25,00
151;portl;35,00
152;dl;35,00
152;rkl;5,00
152;ports;15,00
152;portm;25,00
152;portl;35,00
153;dl;40,00
153;rkl;6,00
153;ports;15,00
153;portm;25,00
153;portl;35,00
154;dl;70,00
154;rkl;11,00
154;ports;15,00
154;portm;25,00
154;portl;35,00
156;dl;85,00
156;rkl;12,50
156;portm;70,00
156;ports;50,00
156;portl;100,00
158;portl;100,00
158;dl;85,00
158;rkl;12,50
158;ports;50,00
158;portm;70,00
160;dl;80,00
160;rkl;12,00
160;ports;15,00
160;portm;25,00
160;portl;35,00
161;dl;75,00
161;rkl;11,00
161;ports;15,00
161;portm;25,00
161;portl;35,00
162;dl;60,00
162;rkl;9,50
162;ports;15,00
162;portm;25,00
162;portl;35,00
163;dl;13,00
163;portl;35,00
163;portm;30,00
163;ports;25,00
167;dl;86,00
167;rkl;14,00
167;tl;5,00
167;kpl_m;0,20
167;ports;15,00
167;portm;25,00
167;portl;35,00
168;ports;5,00
168;portm;15,00
168;portl;30,00
170;dl;60,00
170;rkl;9,00
170;ports;15,00
170;portm;25,00
170;portl;35,00
172;ports;55,00
172;portm;70,00
172;portl;80,00
173;dl;55,00
173;rkl;7,50
173;ports;55,00
173;portm;70,00
173;portl;80,00
175;dl;70,00
175;ports;15,00
175;portm;25,00
175;portl;35,00
176;ports;15,00
176;portm;25,00
176;portl;35,00
177;ports;70,00
177;portm;110,00
177;portl;150,00
182;dl;55,00
182;rkl;8,00
182;ports;15,00
182;portm;25,00
182;portl;35,00
183;ports;15,00
183;portm;25,00
